"id","create_uid:id","request_date","hr_employee_id:id","department_id:id","request_through:id","request_no","request_categ_id:id","request_type_id:id","source_id:id","state"
"request_15-10-11-7-00160","res.users_m1062",2015-09-23 09:07:23,"hr.employees_m1062","muti_hrms.hr_department_tigid","muti_hrms.hr_department_imgid","15-10-11-7-00160","request.categ_PURCHASE","approval.rulePURCHASES(OFFICE SUPPLIES)_BU MAIN","request.source_BU MAIN","draft"
"request_15-25-11-2-00286","res.users_m0230",2015-09-23 09:09:41,"hr.employees_m0230","muti_hrms.hr_department_epfcfinanceid","muti_hrms.hr_department_epfcfinanceid","15-25-11-2-00286","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-10-11-7-00161","res.users_m0318",2015-09-23 10:18:50,"hr.employees_m0318","muti_hrms.hr_department_tigid","muti_hrms.hr_department_tigid","15-10-11-7-00161","request.categ_PAYMENT","approval.rulePAYABLES_TIG","request.source_TIG","confirm"
"request_15-25-11-2-00287","res.users_m0230",2015-09-23 09:12:55,"hr.employees_m0230","muti_hrms.hr_department_epfcfinanceid","muti_hrms.hr_department_epfcfinanceid","15-25-11-2-00287","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-11-2-00288","res.users_m0230",2015-09-23 10:21:36,"hr.employees_m0230","muti_hrms.hr_department_epfcfinanceid","muti_hrms.hr_department_epfcfinanceid","15-25-11-2-00288","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-11-2-00289","res.users_m0230",2015-09-23 09:50:17,"hr.employees_m0230","muti_hrms.hr_department_epfcfinanceid","muti_hrms.hr_department_epfcfinanceid","15-25-11-2-00289","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-11-2-00290","res.users_m0230",2015-09-23 10:22:19,"hr.employees_m0230","muti_hrms.hr_department_epfcfinanceid","muti_hrms.hr_department_epfcfinanceid","15-25-11-2-00290","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-11-2-00291","res.users_m0230",2015-09-23 10:04:21,"hr.employees_m0230","muti_hrms.hr_department_epfcfinanceid","muti_hrms.hr_department_epfcfinanceid","15-25-11-2-00291","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-10-11-7-00162","res.users_m0318",2015-09-23 10:22:53,"hr.employees_m0318","muti_hrms.hr_department_tigid","muti_hrms.hr_department_tigid","15-10-11-7-00162","request.categ_PAYMENT","approval.ruleSALARIES AND WAGES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-10-11-7-00163","res.users_m0124",2015-09-23 10:35:11,"hr.employees_m0124","muti_hrms.hr_department_tigid","muti_hrms.hr_department_tigid","15-10-11-7-00163","request.categ_PAYMENT","approval.ruleRENTALS_TIG","request.source_TIG","draft"
"request_15-25-11-2-00292","res.users_m0230",2015-09-23 11:02:44,"hr.employees_m0230","muti_hrms.hr_department_epfcfinanceid","muti_hrms.hr_department_epfcfinanceid","15-25-11-2-00292","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-10-11-7-00164","res.users_m0318",2015-09-23 11:24:51,"hr.employees_m0318","muti_hrms.hr_department_tigid","muti_hrms.hr_department_tigid","15-10-11-7-00164","request.categ_CASH","approval.ruleMANAGEMENT MEALS_TIG","request.source_TIG","confirm"
"request_15-25-11-2-00293","res.users_m0230",2015-09-23 11:27:25,"hr.employees_m0230","muti_hrms.hr_department_epfcfinanceid","muti_hrms.hr_department_epfcfinanceid","15-25-11-2-00293","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-11-2-00294","res.users_m0230",2015-09-23 13:39:09,"hr.employees_m0230","muti_hrms.hr_department_epfcfinanceid","muti_hrms.hr_department_epfcfinanceid","15-25-11-2-00294","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-11-2-00295","res.users_m0230",2015-09-23 14:12:05,"hr.employees_m0230","muti_hrms.hr_department_epfcfinanceid","muti_hrms.hr_department_epfcfinanceid","15-25-11-2-00295","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-11-2-00296","res.users_m0230",2015-09-23 14:25:53,"hr.employees_m0230","muti_hrms.hr_department_epfcfinanceid","muti_hrms.hr_department_epfcfinanceid","15-25-11-2-00296","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-11-2-00297","res.users_m0230",2015-09-23 14:47:10,"hr.employees_m0230","muti_hrms.hr_department_epfcfinanceid","muti_hrms.hr_department_epfcfinanceid","15-25-11-2-00297","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-11-2-00298","res.users_m0230",2015-09-23 15:09:02,"hr.employees_m0230","muti_hrms.hr_department_epfcfinanceid","muti_hrms.hr_department_epfcfinanceid","15-25-11-2-00298","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-15-2-00059","res.users_m1099-epfc",2015-09-23 15:19:49,"hr.employees_m1099-epfc","muti_hrms.hr_department_epfcsurallah2id","muti_hrms.hr_department_epfcsurallah2id","15-25-15-2-00059","request.categ_CASH","approval.rulePETTY CASH FUND REPLENISHMENT_REVOLVING FUND","request.source_REVOLVING FUND","draft"
"request_15-25-24-1-00007","res.users_m0712-epfc",2015-09-23 15:45:05,"hr.employees_m0712-epfc","muti_hrms.hr_department_epfcvalenciaid","muti_hrms.hr_department_mutivalenciaid","15-25-24-1-00007","request.categ_OTHERS","approval.ruleREPAIRS & MAINTENANCE_REVOLVING FUND","request.source_REVOLVING FUND","draft"
"request_15-25-11-2-00299","res.users_m0241",2015-09-23 16:09:07,"hr.employees_m0241","muti_hrms.hr_department_epfcfinanceid","muti_hrms.hr_department_epfcfinanceid","15-25-11-2-00299","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","draft"
"request_15-25-32-1-00103","res.users_m0752-epfc",2015-09-23 16:34:31,"hr.employees_m0752-epfc","muti_hrms.hr_department_epfcpanaboid","muti_hrms.hr_department_epfcpanaboid","15-25-32-1-00103","request.categ_OTHERS","approval.ruleACCOUNTABLE FORMS_BU MAIN","request.source_BU MAIN","confirm"
"request_15-15-11-1-00509","res.users_m1176",2015-09-24 11:09:09,"hr.employees_m1176","muti_hrms.hr_department_mutifinanceid","muti_hrms.hr_department_mutifinanceid","15-15-11-1-00509","request.categ_CASH","approval.rulePETTY CASH FUND REPLENISHMENT_BU MAIN","request.source_BU MAIN","confirm"
"request_15-15-11-1-00510","res.users_m1146",2015-09-24 13:09:19,"hr.employees_m1146","muti_hrms.hr_department_mutifinanceid","muti_hrms.hr_department_mutifinanceid","15-15-11-1-00510","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-13-1-00097","res.users_m0541-epfc",2015-09-24 13:09:46,"hr.employees_m0541-epfc","muti_hrms.hr_department_epfctacurongid","muti_hrms.hr_department_epfctacurongid","15-25-13-1-00097","request.categ_OTHERS","approval.ruleREPAIRS & MAINTENANCE_REVOLVING FUND","request.source_REVOLVING FUND","confirm"
"request_15-15-11-1-00511","res.users_m1146",2015-09-24 13:09:10,"hr.employees_m1146","muti_hrms.hr_department_mutifinanceid","muti_hrms.hr_department_mutifinanceid","15-15-11-1-00511","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-15-11-1-00512","res.users_m1146",2015-09-24 13:09:18,"hr.employees_m1146","muti_hrms.hr_department_mutifinanceid","muti_hrms.hr_department_mutifinanceid","15-15-11-1-00512","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-15-32-1-00034","res.users_m0752-muti",2015-09-22 14:09:04,"hr.employees_m0752-muti","muti_hrms.hr_department_mutipanaboid","muti_hrms.hr_department_mutipanaboid","15-15-32-1-00034","request.categ_CASH","approval.ruleREVOLVING FUND REPLENISHMENT_BU MAIN","request.source_BU MAIN","confirm"
"request_15-10-11-7-00165","res.users_m0318",2015-09-24 08:49:15,"hr.employees_m0318","muti_hrms.hr_department_tigid","muti_hrms.hr_department_tigid","15-10-11-7-00165","request.categ_PAYMENT","approval.rulePAYABLES_TIG","request.source_TIG","confirm"
"request_15-15-11-1-00513","res.users_m1146",2015-09-24 09:23:15,"hr.employees_m1146","muti_hrms.hr_department_mutifinanceid","muti_hrms.hr_department_mutifinanceid","15-15-11-1-00513","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-12-2-00075","res.users_m1104-epfc",2015-09-24 09:25:15,"hr.employees_m1104-epfc","muti_hrms.hr_department_epfcisulan2id","muti_hrms.hr_department_epfcisulan2id","15-25-12-2-00075","request.categ_CASH","approval.ruleREVOLVING FUND REPLENISHMENT_BU MAIN","request.source_BU MAIN","confirm"
"request_15-10-11-7-00166","res.users_m0318",2015-09-24 09:25:46,"hr.employees_m0318","muti_hrms.hr_department_tigid","muti_hrms.hr_department_tigid","15-10-11-7-00166","request.categ_PAYMENT","approval.rulePAYABLES_TIG","request.source_TIG","confirm"
"request_15-15-11-1-00514","res.users_m1146",2015-09-24 09:25:20,"hr.employees_m1146","muti_hrms.hr_department_mutifinanceid","muti_hrms.hr_department_mutifinanceid","15-15-11-1-00514","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-32-1-00104","res.users_m0640-epfc panabo",2015-09-24 09:29:47,"hr.employees_m0640-epfc panabo","muti_hrms.hr_department_epfcpanaboid","muti_hrms.hr_department_epfcpanaboid","15-25-32-1-00104","request.categ_PAYMENT","approval.ruleTRAVEL EXPENSES_REVOLVING FUND","request.source_REVOLVING FUND","confirm"
"request_15-25-12-2-00076","res.users_m1084-epfc",2015-09-24 09:59:09,"hr.employees_m1084-epfc","muti_hrms.hr_department_epfcisulan2id","muti_hrms.hr_department_epfcisulan2id","15-25-12-2-00076","request.categ_CASH","approval.rulePETTY CASH FUND REPLENISHMENT_REVOLVING FUND","request.source_REVOLVING FUND","confirm"
"request_15-25-24-1-00008","res.users_m0712-epfc",2015-09-24 10:28:01,"hr.employees_m0712-epfc","muti_hrms.hr_department_epfcvalenciaid","muti_hrms.hr_department_epfcvalenciaid","15-25-24-1-00008","request.categ_CASH","approval.rulePETTY CASH FUND REPLENISHMENT_REVOLVING FUND","request.source_REVOLVING FUND","confirm"
"request_15-15-23-1-00033","res.users_m0573-muti",2015-09-24 10:32:17,"hr.employees_m0573-muti","muti_hrms.hr_department_mutilapasanid","muti_hrms.hr_department_mutioperationid","15-15-23-1-00033","request.categ_PURCHASE","approval.rulePURCHASES (CAPEX)_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-23-1-00060","res.users_m0743",2015-09-24 10:39:28,"hr.employees_m0743","muti_hrms.hr_department_epfclapasanid","muti_hrms.hr_department_epfclapasanid","15-25-23-1-00060","request.categ_OTHERS","approval.ruleREPAIRS & MAINTENANCE_REVOLVING FUND","request.source_REVOLVING FUND","confirm"
"request_15-10-11-10-00001","res.users_m0917",2015-09-24 11:08:51,"hr.employees_m0917","muti_hrms.hr_department_imgid","muti_hrms.hr_department_imgid","15-10-11-10-00001","request.categ_PURCHASE","approval.rulePURCHASES(CAPEX IT EQUIPMENT)_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-23-1-00061","res.users_m1139-epfc",2015-09-24 11:09:35,"hr.employees_m1139-epfc","muti_hrms.hr_department_epfclapasanid","muti_hrms.hr_department_imgid","15-25-23-1-00061","request.categ_OTHERS","approval.ruleACCOUNTABLE FORMS_BU MAIN","request.source_BU MAIN","confirm"
"request_15-15-12-1-00035","res.users_m0295-muti",2015-09-25 11:09:09,"hr.employees_m0295-muti","muti_hrms.hr_department_mutiisulanid","muti_hrms.hr_department_epfcisulan2id","15-15-12-1-00035","request.categ_CASH","approval.rulePETTY CASH FUND REPLENISHMENT_REVOLVING FUND","request.source_REVOLVING FUND","confirm"
"request_15-15-12-1-00036","res.users_m1104-muti",2015-09-25 13:03:11,"hr.employees_m1104-muti","muti_hrms.hr_department_mutiisulanid","muti_hrms.hr_department_epfcisulan2id","15-15-12-1-00036","request.categ_CASH","approval.rulePETTY CASH FUND REPLENISHMENT_REVOLVING FUND","request.source_REVOLVING FUND","confirm"
"request_15-15-12-1-00037","res.users_m1104-muti",2015-09-25 13:09:05,"hr.employees_m1104-muti","muti_hrms.hr_department_mutiisulanid","muti_hrms.hr_department_epfcisulan2id","15-15-12-1-00037","request.categ_CASH","approval.rulePETTY CASH FUND REPLENISHMENT_REVOLVING FUND","request.source_REVOLVING FUND","confirm"
"request_15-25-33-1-00081","res.users_m1044-epfc",2015-09-25 13:09:42,"hr.employees_m1044-epfc","muti_hrms.hr_department_epfctagumid","muti_hrms.hr_department_imgid","15-25-33-1-00081","request.categ_OTHERS","approval.ruleACCOUNTABLE FORMS_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-11-2-00300","res.users_m0241",2015-09-25 14:01:57,"hr.employees_m0241","muti_hrms.hr_department_epfcfinanceid","muti_hrms.hr_department_epfcfinanceid","15-25-11-2-00300","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-11-2-00301","res.users_m0241",2015-09-25 14:09:47,"hr.employees_m0241","muti_hrms.hr_department_epfcfinanceid","muti_hrms.hr_department_epfcfinanceid","15-25-11-2-00301","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-11-2-00302","res.users_m1011",2015-09-26 09:35:00,"hr.employees_m1011","muti_hrms.hr_department_epfcfinanceid","muti_hrms.hr_department_epfcfinanceid","15-25-11-2-00302","request.categ_PAYMENT","approval.ruleADVANCES FOR OPERATIONS_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-13-1-00098","res.users_m0541-epfc",2015-09-26 09:49:58,"hr.employees_m0541-epfc","muti_hrms.hr_department_epfctacurongid","muti_hrms.hr_department_epfctacurongid","15-25-13-1-00098","request.categ_PAYMENT","approval.ruleUTILITY BILLS/RENTALS_REVOLVING FUND","request.source_REVOLVING FUND","confirm"
"request_15-15-12-1-00038","res.users_m1104-muti",2015-09-26 10:09:50,"hr.employees_m1104-muti","muti_hrms.hr_department_mutiisulanid","muti_hrms.hr_department_epfcisulan2id","15-15-12-1-00038","request.categ_CASH","approval.ruleREVOLVING FUND REPLENISHMENT_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-13-1-00099","res.users_m0541-epfc",2015-09-26 10:37:48,"hr.employees_m0541-epfc","muti_hrms.hr_department_epfctacurongid","muti_hrms.hr_department_epfctacurongid","15-25-13-1-00099","request.categ_CASH","approval.rulePETTY CASH FUND REPLENISHMENT_REVOLVING FUND","request.source_REVOLVING FUND","confirm"
"request_15-15-11-1-00515","res.users_m1146",2015-09-26 09:35:22,"hr.employees_m1146","muti_hrms.hr_department_mutifinanceid","muti_hrms.hr_department_mutifinanceid","15-15-11-1-00515","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-10-11-6-00028","res.users_m1217",2015-09-26 10:39:29,"hr.employees_m1217","muti_hrms.hr_department_misid","muti_hrms.hr_department_imgid","15-10-11-6-00028","request.categ_PURCHASE","approval.rulePURCHASES(CAPEX IT EQUIPMENT)_BU MAIN","request.source_BU MAIN","confirm"
"request_15-10-11-6-00029","res.users_m1278",2015-09-26 10:49:31,"hr.employees_m1278","muti_hrms.hr_department_misid","muti_hrms.hr_department_imgid","15-10-11-6-00029","request.categ_PURCHASE","approval.rulePURCHASES(CAPEX IT EQUIPMENT)_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-32-1-00105","res.users_m1050-epfc",2015-09-26 11:01:50,"hr.employees_m1050-epfc","muti_hrms.hr_department_epfcpanaboid","muti_hrms.hr_department_epfcpanaboid","15-25-32-1-00105","request.categ_PAYMENT","approval.ruleUNIT REGISTRATION_REVOLVING FUND","request.source_REVOLVING FUND","confirm"
"request_15-15-32-1-00035","res.users_m0752-muti",2015-09-26 11:05:36,"hr.employees_m0752-muti","muti_hrms.hr_department_mutipanaboid","muti_hrms.hr_department_mutipanaboid","15-15-32-1-00035","request.categ_PAYMENT","approval.rulePAYABLES_REVOLVING FUND","request.source_REVOLVING FUND","confirm"
"request_15-25-12-2-00077","res.users_m0432-epfc",2015-09-26 11:45:06,"hr.employees_m0432-epfc","muti_hrms.hr_department_epfcisulan2id","muti_hrms.hr_department_epfcisulan2id","15-25-12-2-00077","request.categ_CASH","approval.ruleREVOLVING FUND REPLENISHMENT_BU MAIN","request.source_BU MAIN","confirm"
"request_15-15-23-1-00034","res.users_m1231",2015-09-26 13:09:12,"hr.employees_m1231","muti_hrms.hr_department_mutilapasanid","muti_hrms.hr_department_img(warehouse)id","15-15-23-1-00034","request.categ_PURCHASE","approval.rulePURCHASE (NOT CAPEX)_REVOLVING FUND","request.source_REVOLVING FUND","draft"
"request_15-25-12-2-00078","res.users_m0432-epfc",2015-09-26 14:45:14,"hr.employees_m0432-epfc","muti_hrms.hr_department_epfcisulan2id","muti_hrms.hr_department_epfcisulan2id","15-25-12-2-00078","request.categ_PURCHASE","approval.rulePURCHASE (NOT CAPEX)_REVOLVING FUND","request.source_REVOLVING FUND","confirm"
"request_15-25-11-2-00303","res.users_m1011",2015-09-26 14:59:16,"hr.employees_m1011","muti_hrms.hr_department_epfcfinanceid","muti_hrms.hr_department_epfcfinanceid","15-25-11-2-00303","request.categ_PAYMENT","approval.ruleADVANCES FOR OPERATIONS_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-11-2-00304","res.users_m0230",2015-09-26 15:09:11,"hr.employees_m0230","muti_hrms.hr_department_epfcfinanceid","muti_hrms.hr_department_epfcfinanceid","15-25-11-2-00304","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-24-1-00009","res.users_m1170-epfc",2015-09-26 15:19:36,"hr.employees_m1170-epfc","muti_hrms.hr_department_epfcvalenciaid","muti_hrms.hr_department_epfcvalenciaid","15-25-24-1-00009","request.categ_OTHERS","approval.ruleTRADE INVENTORY_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-11-2-00305","res.users_m0230",2015-09-26 15:12:57,"hr.employees_m0230","muti_hrms.hr_department_epfcfinanceid","muti_hrms.hr_department_epfcfinanceid","15-25-11-2-00305","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-32-1-00106","res.users_m0640-epfc panabo",2015-09-26 15:37:55,"hr.employees_m0640-epfc panabo","muti_hrms.hr_department_epfcpanaboid","muti_hrms.hr_department_epfcpanaboid","15-25-32-1-00106","request.categ_CASH","approval.ruleREVOLVING FUND REPLENISHMENT_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-11-2-00306","res.users_m0230",2015-09-26 15:49:19,"hr.employees_m0230","muti_hrms.hr_department_epfcfinanceid","muti_hrms.hr_department_epfcfinanceid","15-25-11-2-00306","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-13-1-00100","res.users_m0992",2015-09-28 10:09:59,"hr.employees_m0992","muti_hrms.hr_department_epfctacurongid","muti_hrms.hr_department_epfctacurongid","15-25-13-1-00100","request.categ_OTHERS","approval.ruleREPAIRS & MAINTENANCE_REVOLVING FUND","request.source_REVOLVING FUND","confirm"
"request_15-25-13-1-00101","res.users_m1017",2015-09-28 09:28:26,"hr.employees_m1017","muti_hrms.hr_department_epfctacurongid","muti_hrms.hr_department_epfctacurongid","15-25-13-1-00101","request.categ_OTHERS","approval.ruleREPAIRS (CAPEX)_REVOLVING FUND","request.source_REVOLVING FUND","confirm"
"request_15-25-13-1-00104","res.users_m1017",2015-09-28 09:27:34,"hr.employees_m1017","muti_hrms.hr_department_epfctacurongid","muti_hrms.hr_department_epfctacurongid","15-25-13-1-00104","request.categ_OTHERS","approval.ruleREPAIRS & MAINTENANCE_REVOLVING FUND","request.source_REVOLVING FUND","confirm"
"request_15-10-11-7-00167","res.users_m0318",2015-09-28 09:30:20,"hr.employees_m0318","muti_hrms.hr_department_tigid","muti_hrms.hr_department_tigid","15-10-11-7-00167","request.categ_CASH","approval.rulePETTY CASH FUND REPLENISHMENT_TIG","request.source_TIG","confirm"
"request_15-10-11-7-00168","res.users_m1062",2015-09-28 09:32:53,"hr.employees_m1062","muti_hrms.hr_department_tigid","muti_hrms.hr_department_imgid","15-10-11-7-00168","request.categ_PURCHASE","approval.rulePURCHASES(OFFICE SUPPLIES)_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-12-2-00079","res.users_m0144-epfc",2015-09-28 09:33:46,"hr.employees_m0144-epfc","muti_hrms.hr_department_epfcisulan2id","muti_hrms.hr_department_epfcisulan2id","15-25-12-2-00079","request.categ_CASH","approval.ruleREVOLVING FUND REPLENISHMENT_BU MAIN","request.source_BU MAIN","confirm"
