"id","old_code","name","first_name","middle_name","last_name","suffix","street","city","zip","country_id/id","company_type","phone","mobile","fax","email","supplier","mode_payment","comment","discount","property_supplier_payment_term_id/id","customer","wholesaler"
"res_partner_supplier_12",,"DOVV SALES INC. / PIONEER",,,,,"TAGUM","DAVAO",,"base.ph","company","(082) 234-7989","09108203829 (SMART) 09274738526 (GLOBE)","(082) 300-7714",,"TRUE","collection","SILICON GASKET","ISSUE PDC 1WEEK-2%         16K-29K- 2% / 30K-50K-3% and 80k above- 5%","account.account_payment_term_net",,
"res_partner_supplier_13",,"DRAGON STAR MKTG. INC.",,,,,"30F BANAWE","QUEZON CITY",,"base.ph","company","(02) 742-5280; (02) 742-1743","09228191837 (SUN) 09228365286(EDITH)","(02) 731-2381","dragon_star_marketing@yahoo.com dragonstar@e-bros.net","TRUE","collection","TIRES & TUBES","DEPENDS ON THE BRACKET BELOW 50K-8% ; 50K-100K -10%/5% ; 100K-250K- 10%/10% ; 250K-500K-10%/10%/3% ; 500K-ABOVE-10%/10%/5%/1%",120,,
"res_partner_supplier_14",,"D LUCKY MOTOR PARTS TRADING CORP.",,,,,"BILLING ADD: 165-V GULLAS ST. ","CEBU CITY",,"base.ph","company","(032) 253-9457; 253-0391 (032-412-1840 DIRECT LINE TO EDWARD GO)","09328481168 (SUN) 09228867348 (SUN) 09176303398(GLOBE)","(032)253 0390 (032) 254-0253-DENNIS GO","sogo_t@yahoo.com edwardtgo@gmail.com","TRUE","sending","MC TIRE & TUBE/ BIKE PARTS","10%all mc parts&battery 14% TIRE/TUBE (MC) 20% PARTS(BIKE) 14% TIRE TUBE (BIKE)",120,,
"res_partner_supplier_15",,"DO IT MARKETING CO.,",,,,,"7946 C PADILLA ST. MAMBALING  ","CEBU CITY",6000,"base.ph","company","(02) 868-5239 MANILA/032-262-8073 CEBU","09228537514 (SUN) 09228537543 (SUN)","JUNE C. BALANSANG - Van salesman","jvmangoba@doitcompany.com","TRUE","collection","PROTECTANT SHIELD",,60,,
"res_partner_supplier_16",,"EASTON ENTERPRISES CO., INC.",,,,,"1097-B CORREGIDOR ST., CORNER MOLAVE ST., MANUGUIT","MANILA",,"base.ph","company","(02) 2569-164","09228781674 (SUN)","(02) 255-2735","james_agabin2003@yahoo.com/ joedel_easton_eastway@yahoo.com/ eastonenterprises@hotmail.com","TRUE","collection","MC PARTS","15%-PARTS; 20%-TIRE",90,,
"res_partner_supplier_17",,"EASTWAY RACING CO.",,,,,"1097-B CORREGIDOR ST., CORNER MOLAVE ST., MANUGUIT,  TONDO","MANILA",,"base.ph","company","(02) 9846-201; 983-8979","09228781674 (SUN)","(02) 443-4518","eastwayracing@hotmail.com/ joedel_easton_eastway@yahoo.com","TRUE","collection","MC PARTS","15%-PARTS; 25%-TIRE",90,,
"res_partner_supplier_18",,"ENDURO COMMERCIAL",,,,,"150 DR. ALEJOS STREET ","QUEZON CITY",,"base.ph","company","(02) 516-6243/ 516-8029","09189067417 (SMART) 09228908595 (SUN)",,"endurocommercial@gmail.com/ janpatrick@gmail.com","TRUE","sending","MC PARTS","20% for MINTON PRODUCTS / 30% for OKK PRODUCTS",120,,
"res_partner_supplier_19",,"EFX DEPOT",,,,,"230ABC-10TH AVE. EAST GRACE PARK","CALOOCAN CITY",,"base.ph","company","(02) 365-7500","09328438866;  092285330088 (SUN)","(02) 365-7500","efxm2d@yahoo.com","TRUE","collection","MC PARTS","35% ALL ITEMS",120,,
"res_partner_supplier_20",,"FIRST SOLID RUBBER IND. INC",,,,,"#3 GEN. TIRONA ST., EDSA ","CALOOCAN CITY",,"base.ph","company","(02)364-1891 to 95, 364-2672, 367-2332","O9172459937 (GLOBE)","(02) 361-8977","firstsolid@yahoo.com","TRUE","sending","TIRES & TUBES","Term base on upon received date.",90,,
"res_partner_supplier_21",,"GOLDEN RENAISSANCE CORPORATION",,,,,"GORECO LOT 4 BLK 9 PHASE 1 PLASTIC CITY INDUSTRIAL SUBD. T. SANTIAGO CANUMAY ","VALENZUELA",,"base.ph","company","(02) 294-2248 ; 364-4037","09178985875 (GLOBE) 09228224485 (SUN)",,"stlcorp8@yahoo.com","TRUE","sending","BIKE PARTS",,120,,
"res_partner_supplier_22",,"GYH INDUSRTIAL SALES CORP.",,,,,"457-459 T. PINPIN ST., BRGY. 290 ZONE 27, DIST., III, BINONDO","MANILA",,"base.ph","company","(02) 242-6781 TO 86, 241-4524, 242-0349, 242-0535, 242-0360, 242-8842 TO 43, 242-0370, 242-0371",,"(632) 242-6766/ 9652",,"TRUE",,"KANA EXCLUSIVE DISTRIBUTOR","VAT REG TIN: 002-623-731-000",60,,
"res_partner_supplier_23",,"HATCH MOTO PRO CORPORATION",,,,,"#51 GUIRAYAN ST., BRGY. DONA IMELDA","QUEZON CITY",,"base.ph","company","(02) 714-8986 ; 8982","09984161266 (SUN) 09277992345(GLOBE)","(02) 713-5083","hatchmp@gmail.com/ jonngabriel@yahoo.com","TRUE","collection","MC/ BIKE PARTS","30% NORMAL DISCOUNT AND 35% ON SUNTOUR ONLY",120,,
"res_partner_supplier_24",,"HAPPY CYCLE",,,,,"6001-E TATALON STREET, BRGY. UGONG","VALENZUELA CITY",,"base.ph","company","(02) 983-7892","09228228664 (SUN) ","(02) 983-7611","happy_cycle_center@yahoo.com.ph / happycycle@ymail.com","TRUE","collection","BIKE PARTS",,120,,
"res_partner_supplier_25",,"HONDA PHILIPPINES",,,,,"TIGATTO ROAD BUHANGIN ","DAVAO CITY",,"base.ph","company","(082) 221-8264",,"(082)-227-2833","spdavao_warehouse@hondaph.com","TRUE",,"MC PARTS","30.00%",45,,
"res_partner_supplier_26",,"JCA ENTERPRISE LTD. CO.",,,,,"Unit B14#202 Gov. Pascual Street","Malabon City",,"base.ph","company","(02) 285-6935; 401-4984","09258741188 (SUN) 09081313355 (SMART)","(02) 288-4592","joseisaganiuy@yahoo.com","TRUE","collection","MC PARTS","25.00%",120,,
"res_partner_supplier_27",,"IZUMI MFG. CO., INC. (JONSON old name) ",,,,,"42-A PABLO ST., KARUHATAN VALENZUELA, METRO MANILA/ BILLING ADD: 96 ENTERPRISES ISIDORA CENTRE, BURGOS STREET. ","BACOLOD CITY",,"base.ph","company","(02) 292-0986; (02) 292-1208; (034) 433-6637/ (02) 292-0563-ARLYN    TOTO ONG 4336637 & 38","09188866888 (SMART) - TOTO ONG 09209283932(ARLYN TOSING) <09228221895- neneng baculod office mga invoice incharge)","(02) 292-1773: (034) 433-6621; (034) 433-0127","gildoreong@yahoo.com , jonsonmaco@yahoo.com","TRUE","sending","IZUMI TIRES & TUBES","12.00%",120,,
"res_partner_supplier_28",,"KASALIGAN AUTO MART",,,,,,"CEBU CITY",,"base.ph","company","(032) 236-6920","09228152262 (SUN)","(032)-236-6920",,"TRUE",,"CAB PARTS",,60,,
"res_partner_supplier_29",,"KAWASAKI",,,,,"J.P. LAUREL AVE, BAJADA","DAVAO CITY",,"base.ph","company","(082) 305-0192","09985670308 (SMART)","(082)-305-0192","vinjii@yahoo.com MichaelVincent_R@kmp.com.ph","TRUE","sending","MC PARTS","20.00%",45,,
"res_partner_supplier_30",,"KC YASAKI - OEM CORP. (DATI NGA JACK DU COMP.)",,,,,"60 M. ANTONIO ST. INTERIOR, BRGY. MAYSAN","VALENZUELA CITY",,"base.ph","company","(02) 514-4717","09227106695 (SUN)","(02) 709-1937","kcyasaki@gmail.com","TRUE","collection","MC PARTS","LESS 25% LESS 10%",120,,
"res_partner_supplier_31",,"KING LEO MOTORCYCLE PARTS",,,,,"12 PARAISO ST. ","SAN FRANCISCO DEL MONTE",,"base.ph","company","(02) 374-5146 / (02) 373-0495","09321614048 (SUN) 09285059120 (SMART)","(02)416-0159","kingleo_mcparts@yahoo.com / avi.cathy@gmail.com","TRUE","sending","MC PARTS",,135,,
"res_partner_supplier_32",,"KUPLER",,,,,"MOBIL DEPOT, NATIONAL HIGHWAY, CALUMPANG","GEN. SAN. CITY",,"base.ph","company","(083) 553-5339",,"(083) 553-5338","mobil.sales@kuplerdcmc.com","TRUE","collection","OIL",,60,,
"res_partner_supplier_33",,"LBC MICHAEL MFG. CORP.",,,,,"9-C Int. Maysan Road, Mainta","Valenzuela City",,"base.ph","company","(02) 292-3506",,"(02) 292-3506; (02) 444-8277",,"TRUE","sending","RIM & LICENSE FRAME",,90,,
"res_partner_supplier_34",,"LEO TIRE MFG CORP.",,,,,"NO. 1186 APC BLDG. QUEZON AVENUE","QUEZON CITY",,"base.ph","company","(02) 294-1923 (JESSA SANTOS)(MATET); (02)291-5647-jenny(FOLLOWUP P.O.)","02-291-5608(Jv) - FOR invoice","(02) 291-6654","leo.tire@yahoo.com","TRUE","collection","LEO TIRES & TUBES","14% BIKE, 29% TIRE, 30% TUBE NR and additional 4% if promp payment",120,,
"res_partner_supplier_35",,"MAJESTIC COMMERCIAL CORP.",,,,,"IMPORTER, WHOLESALEER, RETAILER 2587 NEW PANADEROS ST. ANA","MANILA",,"base.ph","company","(02) 716-9821","09228289928 (SUN)","02-716-8202","jannette_majcorp@yahoo.com","TRUE","collection","BIKE & MC PARTS",,120,,
"res_partner_supplier_36",,"MAUNLAD",,,,,,"KORONADAL CITY",,"base.ph","company","228-2795","09173001876 (GLOBE)","CHEKE NAME UNDER JOSE LEE",,"TRUE","collection","NYLON PLASTIC, ELECTRICAL TAPE","40% NEGOTIATE BY MAAM TWINKLE","account.account_payment_term_net",,
"res_partner_supplier_37",,"MAY EIGHTEEN TRADING",,,,,"PALM DRIVE, BAJADA ","DAVAO CITY",,"base.ph","company","(082) 221-7650","09461724667 (SMART)",,,"TRUE","collection","BATTERY SOLUTION",,60,,
"res_partner_supplier_38",,"MEGALINE",,,,,"93 DAPITAN ST. STO DOMINGO","QUEZON CITY",,"base.ph","company","(02) 742-8061-62","09228191131 (SUN) 09178878597 (GLOBE)","(02) 731-0784","megalineph@gmail.com","TRUE","sending","BIKE PARTS",,120,,
"res_partner_supplier_39",,"MICKY CYCLE CENTER",,,,,"BILLING ADD:79C MCARTHUR HIGHWAY","CALOOCAN CITY",,"base.ph","company","(02) 361–0350; 330–5828/ 365-7156","09257649126  (SUN)",,"mickycycle@yahoo.com","TRUE","sending","BIKE PARTS","30 % ALL PARTS",120,,
"res_partner_supplier_40",,"MINTON MARKETING INC.",,,,,"342 PALM DRIVE, BAJADA","DAVAO CITY",,"base.ph","company","09235272015-Emerson Sy 09421041687- Norman Ypon(09258741188 sun 09081313355 smart JON UY)","09209038939 (SMART)","(02) 365-4464","mintonmarketing@yahoo.com ponynorms_24@yahoo.com ","TRUE","collection","MC PARTS",,120,,
"res_partner_supplier_41",,"MITSUKOSHI MOTORS PHILS. INC.",,,,,"222 DONA JUANA ST. E. RODRIGUEZ SR. AVE., KALUSUGAN","QUEZON CITY",,"base.ph","company","(02) 414-6766; (02) 414-6767       09177968005 (Luz Orosco)","09177432782 (GLOBE); 09989860038 (SMART) ","DIRECTLINE TO QUEENIE(02)721-4090/ (02)724-2722","newwolf_999@yahoo.com / queenie.castillo@mitsukoshimotors.com","TRUE","collection","MC PARTS (MAKOTO)","30% spareparts",90,,
"res_partner_supplier_42",,"MOTOR BEARING & PARTS CORP.",,,,,"938 Benavidez St. Binondo ","Manila ",,"base.ph","company","(02)-244-8280 (KAYE) ; (02)-244-8361(SALES DEPT-Mr. Mariano)","09173000704 (GLOBE) 09228899660 (SUN)","(02)244-0032","janepardillo@yahoo.com / motorbearingparts@yahoo.com","TRUE","sending","KOYO BEARING","ALL PRICE STATED ON DELIVERY ARE NET OF DISCOUNT. (maximum discount 20%)",120,,
"res_partner_supplier_43",,"NEW VANHAWK COMPANY",,,,,"6400 TATALON ST. BRGY. UGONG ","VALENZUELA CITY",,"base.ph","company","(02) 990-5394/ 990-5395","09224729505 (SUN) 09238274050 (SUN)","(02) 990-5394","new.vanhawk@yahoo.com","TRUE","collection","MC & BIKE PARTS","less 30% less 3% for volumne",120,,
"res_partner_supplier_44",,"NEW FIVE STAR METAL PRODUCT CENTER",,,,,"207 9TH AVENUE; CORNER B. SERRANO","CALOOCAN CITY",,"base.ph","company","(02) 361-1147/ 363-9894/ 363-5220","09053528932 (GLOBE) 09166011072 (GLOBE)","(02) 363-9894/ 361-9917","newfivestar_metal@yahoo.com","TRUE","sending","BOLTS AND NUT","20%-PARTS","account.account_payment_term_net",,
"res_partner_supplier_45",,"OZONE CYCLE",,,,,"NO.6 UBAY STREET. BGRY. SIENA  ","QUEZON CITY",1114,"base.ph","company","(02) 711-5227 / 881-2984","09351253091 (SUN) 09106369373 (SMART)","(02) 742-9068","info.ozonecycle@yahoo.com","TRUE","collection","I-MOTO TIRE / RED DRAGON/ YOYO GENUINE PARTS/ SHINKO",,120,,
"res_partner_supplier_46",,"OPTION 1 LPL MOTOR RACING",,,,,"210 10TH AVENUE. WEST GRACE PARK ","CALOOCAN CITY",,"base.ph","company","(02) 363-9585/ 366-1721/ 2939157",,,"option-1_LPL-MotoRacing (facebook)","TRUE",,,"30.00%",,,
"res_partner_supplier_47",,"PANAMA",,,,,"#407 MUELLE DE BINONDO ST., BINONDO ","MANILA",,"base.ph","company","(02) 242-2944","09228757772 (SUN)","(02) 242-2943","kelvin8lim@yahoo.com","TRUE","sending","MC PARTS",,120,,
"res_partner_supplier_48",,"PHOENIX UNIVERSAL MEGA STATION",,,,,"AVENIDA SANTOS ST.,  BAP-BAP, NOVA TIERRA, LANANG","DAVAO CITY",,"base.ph","company"," ","09232496832 (SUN)",,"aazosa@yahoo.com ; PUMGS@yahoo.com","TRUE",,"OIL"," ","account.account_payment_term_net",,
"res_partner_supplier_49",,"PHIL. SGC CORP.",,,,,"514 QUINTIN PAREDES ST.,  ","BINONDO",,"base.ph","company","(02) 332-1332 DIAL 2 tess/karen","09255777999 (SUN)","(02) 364-3865","philsgccorp@yahoo.com","TRUE","collection","MC PARTS",,90,,
"res_partner_supplier_50",,"PHIL. SUNTAL CORP.",,,,,"514 QUINTIN PAREDES ST.,","BINONDO",,"base.ph","company","(02) 241-1149","09257773465 (SUN)","(02) 241-1158","philsuntal@yahoo.com / jaypee@philsuntalcorp.com","TRUE","collection","MC PARTS; NGK SPARK PLUG",,120,,
"res_partner_supplier_51",,"PROGRESS BICYCLE CORP.",,,,,"CAMACAWAN ROAD, GALAXY GUSH","CAGAYAN",,"base.ph","company","(088) 227-26838","09228155009 (SUN) 09177073128 (GLOBE)","(088) 22-723833","progress_bicycle@yahoo.com/eb_sia@yahoo.com","TRUE","collection","MC & BIKE PARTS","LESS 15% 10%",120,,
"res_partner_supplier_52",,"RAPID FIRE",,,,,,"KORONADAL CITY",,"base.ph","company",,"09228568248 (SUN)",,"bruce_liong@ymail.com","TRUE","collection","BIKE PARTS","BIKE UNITS-10% ; BIKE PARTS-20%",90,,
"res_partner_supplier_53",,"RMCB MARKETING",,,,,"BREAD HOMELOT SUBD., TIGATTO ROAD, BUHANGIN","DAVAO CITY",,"base.ph","company","(02) 241-0028","09472955730 (GLOBE) 09058546647 (SMART)",,,"TRUE","collection","MC PARTS",,90,,
"res_partner_supplier_54",,"SIGMA ",,,,,"COR. ODI ST., GENSAN DRIVE","KORONADAL CITY",,"base.ph","company","(083) 228-3508",,"520-1808","smikor@yahoo.com","TRUE","collection","MC BATTERY",,60,,
"res_partner_supplier_55",,"SUZUKI PHIL.",,,,,"LA BLDG., DOOR 9-10, LAPU-LAPU ST., AGDAO","DAVAO CITY",,"base.ph","company","(02) 902-1014; (082)221-1004; (02) 902-1015",,"(02) 902-9011","allan.llena@suzuki.com.ph","TRUE","sending","MC PARTS",,"account.account_payment_term_net",,
"res_partner_supplier_56",,"SKYGO ",,,,,"QUANO AVE.,SUBANGDAKU","MANDAUE CITY",6014,"base.ph","company","(032) 420-9007; (032) 345-3862","09328701377(SUN) 09176336171(GLOBE) 09209643728(SMART)","(082)225-4214","ho_collectioncarlo@yahoo.com","TRUE","sending","MC PARTS","60.00%",60,,
"res_partner_supplier_57",,"ST CLARE ENTERPRISES",,,,,"051 QUIMCO STREET","KIDAPAWAN CITY",,"base.ph","company","(064) 572-7085","09217107363 (SMART) 09368132241 (GLOBE)","(064) 572-7085",,"TRUE","collection","INFINERA TUBE","25% FOR SKYGO GENUINE PARTS AND 40% FOR REPLACEMENT PARTS UNDER SKYGO",60,,
"res_partner_supplier_58",,"TLA CORPORATION",,,,,"#105 MULAWINAN ST., BRGY. LAWANG BATO","VALENZUELA CITY",,"base.ph","company","(02) 432-1241","09258415888 (SUN)","(02) 432-1241","tla_valenzuela@yahoo.com","TRUE","sending","BIKE PARTS",,90,,
"res_partner_supplier_59",,"TREK MARKETING",,,,,"82 REPARO ROAD. 1404 BAESA ","CALOOCAN CITY",,"base.ph","company","(02) 362-4454 or 56; (02) 361-8319","09228541701 (SUN)","(02) 361-4204","trek08marketing@yahoo.com","TRUE","sending","BIKE PARTS",,120,,
"res_partner_supplier_60",,"TRIMARK DISTRIBUTORS, INC.",,,,,"99 ROOSEVELT AVENUE","QUEZON CITY",,"base.ph","company","(02) 372-5852","O9228199755 (SUN) 09774767194 (GLOBE)","(02) 372-5853","TRIMARK99@YAHOO.COM / jem2877.jm@gmail.com","TRUE","collection","MC PARTS",,120,,
"res_partner_supplier_61",,"THE DRJ-BARNEYS CONCEPT CORP. (Ridea Concept Sporting Goods / Chea Bicycle Parts Supply)",,,,,"J.P. LAUREL AVE, BAJADA, 5TH LEVEL GAISANO MALL OF DAVAO","DAVAO CITY",,"base.ph","company",,"09989943422 (SMART)",,"realbikeshop@yahoo.com","TRUE","sending","BIKE PARTS","MC PARTS-20%/5% ; TIRES- 10% ; BATTERY-20%/10%","account.account_payment_term_net",,
"res_partner_supplier_62",,"THREEBOND MANILA REP. OFFICE/ UP-TOWN INDUSTRIAL SALES, INC.",,,,,"UNIT 912 TOWER ONE& EXCHANGE PLAZA (UP-TOWN INDUSTRIAL SALES, INC.- Threebond 1104 Philippines Distributor, add: 56MADISON ST., )","MANDALUYONG CITY",,"base.ph","company","UP-TOWN TEL NO: (02)631-8366 to 75 THREEBOND OFFICE TEL NO: (02) 752-4885, 894-0471","09228994429 (SUN) ","UP-TOWN (02)631-5290/5296 THREEBOND (02)752-4886","uptown@uptown.com.ph or marketing@threebond.com.ph","TRUE",,"THREEBOND- LIQUID GASKET RUBBER- BASED 1104 NEO",,60,,
"res_partner_supplier_63",,"THREEBOND -DAVAO (HARDWARE & INDUSTRIAL SOLUTIONS INC.)",,,,,"DAVAO OFFICE: DOOR#3 CASTANEDA BLDG, J.P. LAUREL AVE., BAJADA/ HEADOFFICE: 56MADISON ST., 1554 ","MANDALUYONG CITY",,"base.ph","company","(032) 221-2060","09167509114(GLOBE) 09236451668 (SUN)","(082) 221-0148","ghdimaano@uptown.com.ph","TRUE","collection","THREEBOND- LIQUID GASKET RUBBER- BASED 1104 NEO","ADDITIONAL 5% IF COD",60,,
"res_partner_supplier_64",,"TYREONE TRADING ",,,,,,,,"base.ph","company",,"09088112581 (SMART)",,"diverichard@yahoo.com","TRUE",,"BIKE PARTS- RACING BOY","ADDITIONAL 5% IF COD",,,
"res_partner_supplier_65",,"TGW ABRASIVE CO.",,,,,"972 SEVERINO REYES STREET. STA. CRUZ","MANILA",,"base.ph","company",,,,,"TRUE",,,,60,,
"res_partner_supplier_66",,"PHILIPPINE YIMEN INC.",,,,,"#12 DALISAY ST. SERRANO SUBD., MARULAS","VALENZUELA CITY",,"base.ph","company","(02) 291-8228/292-1378/293-4482","09258188387 (SUN) 09261984512 ( TM ) 09358237667 ( TM )","(02) 292-1772","yimenmanila@yahoo.com","TRUE","sending","MC PARTS",,120,,
"res_partner_supplier_67",,"VIAJERO",,,,,,"GENERAL SANTOS CITY",,"base.ph","company","083-554-2898","09228980322 (SUN) 09258281168 (SUN-SIR ED)",,"viajero.central@yahoo.com / irmauychiu@yahoo.com","TRUE",,"YAMAHA GENUINE PARTS","30.00%",14,,
"res_partner_supplier_68",,"YOHINGCO TRADING",,,,,"#4B FEMA ROAD, BRGY. BAHAY TORO PROJ. 8","QUEZON CITY",,"base.ph","company","(02) 453-3218 / 454-0070/ 929-6677","09236098864 (SUN) 09159014041 (GLOBE)","(02) 926-1532; 926-0712","sales@yohingco.com","TRUE","sending","MC PARTS","25% Spareparts / 15% oil and lubricants and additional 3%",120,,
"res_partner_supplier_69",,"ZOOM CYCLE",,,,,,"GENERAL SANTOS CITY",,"base.ph","company","083-302-2784(GSC) 228-1868(MARBEL)","09228218956 (SUN) 09178547135 (GLOBE)","083-302-2784","marsian888@yahoo.com","TRUE","collection","DURO TIRE","15.00%",90,,
"res_partner_supplier_70",,"ZENTEX ENT.",,,,,"184-C 8TH AVENUE, WEST","CALOOCAN CITY",,"base.ph","company","366-4651; 366-3150","0925794878(SUN) /09328548538(ms. Jho)","366-4651/366-3150","jemso24@yahoo.com","TRUE","sending","MC PARTS","minimum order is 2000 pcs QTY",120,,
,,,,,,,,,,,,,,,,,,,,,,
"0000333M","0000333M","CHIU KIM ENTERPRISES, INC.",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0000441M","0000441M","DEFIÑO STORE",,,,,,,,,"company",,,,,,,,"5.00%",,TRUE,TRUE
"0000871M","0000871M","JOINT VENTURE COOPERATIVE",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0002931M","0002931M","A.L ABREA ENTERPRISES",,,,,,,,,"company",,,,,,,,"5.00%",,TRUE,TRUE
"0002116M","0002116M","ARJAN SHOP",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0000171M","0000171M","BASILIO, BOBOT","BOBOT",,"BASILIO",,,,,,"person",,,,,,,,"10.00%",,TRUE,TRUE
"0002117M","0002117M","BENJO TRADING",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0000242M","0000242M","BULLECER, RONALD/EPICON CYCLE",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0002751M","0002751M","CHOI-CHOI BICYCLE PARTS RETAILER",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0000381M","0000381M","CPA GEN. MDSE.",,,,,,,,,"company",,,,,,,,"5.00%",,TRUE,TRUE
"0002783M","0002783M","CRIS JADE ENTERPRISES",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0004354M","0004354M","CYCLE LINE MOTOR PARTS - 30 DAYS",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0000398M","0000398M","D & D MC PARTS",,,,,,,,,"company",,,,,,,,"5.00%",,TRUE,TRUE
"0000440M","0000440M","DEDEN BICYCLE PARTS",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0004398M","0004398M","DEFIÑO STORE - 30 DAYS",,,,,,,,,"company",,,,,,,,"5.00%",,TRUE,TRUE
"0000488M","0000488M","DOLOJO HARDWARE",,,,,,,,,"company",,,,,,,,"5.00%",,TRUE,TRUE
"0000490M","0000490M","DOMING MC PARTS",,,,,,,,,"company",,,,,,,,"8.00%",,TRUE,TRUE
"0000533M","0000533M","EDDIE'S RADIO",,,,,,,,,"company",,,,,,,,"5.00%",,TRUE,TRUE
"0000544M","0000544M","ELL MARKETING",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0000603M","0000603M","FAGUTAO, ROLLY","ROLLY",,"FAGUTAO",,,,,,"person",,,,,,,,"10.00%",,TRUE,TRUE
